"Country.Code","City","Location","Latitude","Longitude","Pollutant","Source.Name","Unit","Value","Last.Updated","Country.Label"
"FR","Puy-de-Dôme","FR07034",45.7757153069085,3.09625023923328,"NO","EEA France","µg/m³",35.1,"2023-12-15T11:00:00+01:00","France"
"FR","","FR34057",46.9429682344805,2.00326104989222,"PM2.5","EEA France","µg/m³",2.6,"2021-12-29T21:00:00+01:00","France"
"FR","","FR21035",49.6363812210033,-1.62666931648363,"PM10","EEA France","µg/m³",13.8,"2021-12-15T08:00:00+01:00","France"
"FR","","FR01005",49.3247183840929,6.07610576710319,"PM10","EEA France","µg/m³",19.9,"2021-01-01T01:00:00+01:00","France"
"FR","","FR09019",46.3295859994638,-0.458889,"PM2.5","EEA France","µg/m³",17.1,"2020-01-22T07:00:00+01:00","France"
"FR","","Serv Tech Guipry",47.8319337214448,-1.83632712064428,"PM2.5","EEA France","µg/m³",13.6,"2019-12-03T14:00:00+01:00","France"
"FR","","FR31032",44.1922219994633,0.623889,"O3","EEA France","µg/m³",1.1,"2018-12-27T08:00:00+01:00","France"
"FR","","StMalo Courtoisville",48.654741414049,-1.99613740968915,"O3","EEA France","µg/m³",50.78,"2018-06-21T08:00:00+02:00","France"
"FR","","FR39014",14.6661999997358,-61.1501,"PM10","EEA France","µg/m³",9.85,"2018-04-25T06:00:00+02:00","France"
"FR","","FR10034",51.0112059994752,2.293056,"NO2","EEA France","µg/m³",5.13,"2018-04-25T02:00:00+02:00","France"
"FR","","FR06009",50.1752779994721,3.234167,"PM10","EEA France","µg/m³",10.3,"2018-04-25T02:00:00+02:00","France"
"FR","","FR34024",47.344499999465,0.653322,"PM2.5","EEA France","µg/m³",8.7,"2018-04-25T02:00:00+02:00","France"
"FR","","FR37002",16.2386999997104,-61.5381,"NO2","EEA France","µg/m³",11.07,"2018-01-26T16:00:00+01:00","France"
"FR","","Escautpont",50.4202708576586,3.55181286926881,"PM10","EEA France","µg/m³",19.2,"2017-07-18T20:00:00+02:00","France"
"FR","","Armentieres Centre",50.6872089262531,2.88004371665139,"O3","EEA France","µg/m³",0.95,"2016-12-05T02:00:00+01:00","France"
